Applicant.ID,text,City,State.Name,Latitude,Longitude
2,volunteer school self heal read aloud meir schneiders book record audio visually impairwriter uloop blog cecilia abate write article uloop blog site mostly read students school within unite state one article write receive high readership make one top article read site several weeks,San Francisco,California,37.78007889,-122.42015839
3,prep cook moscone centerserver aloha beach resortmarket intern honda,San Francisco,California,37.78007889,-122.42015839
6,project assistant iom,"Nairobi, Kenya",,-1.28325331,36.81724548
8,deli clerk server cashier food prep order taker safeway grocery inc,Lodi,California,38.13567352,-121.27919769
11,cashier cristina green,Daly City,California,37.69111252,-122.47222137
12,server buffalo wild wingprogram management intern salesforce comrec leader park rec,Daly City,California,37.69111252,-122.47222137
13,cashier ksk group incoffica assistant american care quest incassistant givens halpern inc,Richmond,California,37.93786621,-122.34314728
14,waitress cafe masonhost cantinalifeguard city cedar rapids aquatics,San Francisco,California,37.78007889,-122.42015839
18,barista cashier belreceptionist depaul universityserver giordanos,Chicago,Illinois,41.8832283,-87.63240051
21,cashier hot dog stick,San Francisco,California,37.78007889,-122.42015839
22,sandwich artist subwaypersonal home caregivershift leader subway,Cupertino,California,37.31931305,-122.02926636
23,waiter server ryan harperfilm editor kevin garciawaiter server ray navi,Los Angeles,California,34.05223846,-118.24334717
24,volunteer heal bay,Santa Monica,California,34.01093292,-118.49151611
26,cashier lovin cup,New York,New York,40.71304703,-74.00723267
27,event organizer gaia universityfarm intern yellowroot farmlifeguard childrens program aid ferry beach park association,Black Mountain,North Carolina,35.61877441,-82.31976318
30,expediter townhallserver globebarback cantina,San Francisco,California,37.78007889,-122.42015839
32,intern weeklyintern usa today college,San Francisco,California,37.78007889,-122.42015839
33,softlines team trainer supertargetnanny charleen kittelwaitress host omelet professor,Elk Grove,California,38.41813278,-121.39325714
34,nan estate restaurantserver brasserieserver host maxs restaurant,Madison,Wisconsin,43.07392502,-89.38524628
37,boh autobahn cafeserver food runner fusebox,Oakland,California,37.80482864,-122.2724762
38,sales person phone receptionist lombardi sport ask customer need assistance also check extra size warehouse also special order lastly dress room monitor also clean store,San Francisco,California,37.78007889,-122.42015839
39,red cross certify lifeguard high sierra poolwaiter coffeeshop company,Framingham,Massachusetts,42.28155899,-71.41882324
40,food server lead arden wood inc,San Francisco,California,37.78007889,-122.42015839
42,street marketer media nationcourtesy clerk safeway,Fairfield,California,38.25148773,-122.04985046
44,pizza maker donairos pizza,San Francisco,California,37.78007889,-122.42015839
45,technitian kenserver richardserver tony,San Francisco,California,37.78007889,-122.42015839
48,waitress sandar tunserver joe,San Francisco,California,37.78007889,-122.42015839
50,housekeep intern regis hotelfront office intern regis hotelclaremont country club events intern,San Francisco,California,37.78007889,-122.42015839
51,retail sales intern static vintage clothe,San Francisco,California,37.78007889,-122.42015839
52,server waiter sinugba plus restaurant,McAllen,Texas,26.19669533,-98.23569489
54,host benihanawash house depratment royal laundry,Burlingame,California,37.58419418,-122.36626434
57,sales associate folletlot operator lot monitor city santa barbaraactivities assistant casa dorinda,San Francisco,California,37.78007889,-122.42015839
63,health intern los angeles county dept public healthpart time server gyu kaku japanese dinassistant director huntington learn center,Whittier,California,33.97347641,-118.03266144
66,merchandizer heartfelt darcy lee,San Francisco,California,37.78007889,-122.42015839
68,bakers assistant right slice kauaisales associate jeans warehouse,Lihue,Hawaii,21.9675808,-159.35797119
69,assistant server elevations salon cafebarista grindseasonal make artist benefit,San Francisco,California,37.78007889,-122.42015839
71,courtesy clerk pavilions,Simi Valley,California,34.28631973,-118.7128067
